weekday,rank,webtoon_title,webtoon_author,webtoon_title_id,webtoon_url,series_product_no,series_title,series_title_raw,series_episode_info,series_total_episode_count,series_completion_status,series_author,series_author_raw,series_url,match_status,download_status,series_result_text,weekday_list,weekday_row_count,serial_weekdays,serial_weekday_count,pre_collect_weekdays,post_24h_collect_weekdays,is_download_collectable,release_weekday,release_weekday_ko,pre_collect_weekday,post_24h_collect_weekday,release_event_key,collection_context,target_reason,series_download_text,series_download_count,current_url,snapshot_id,snapshot_weekday,snapshot_weekday_ko,snapshot_started_at_kst,snapshot_date_kst,snapshot_time_kst,item_collect_started_at_kst,item_collect_finished_at_kst,item_collect_elapsed_seconds,collected_at_kst,collected_date_kst,collected_time_kst,snapshot_finished_at_kst,snapshot_elapsed_seconds
sun,57,경자 전성시대,김호드,769658,https://comic.naver.com/webtoon/list?titleId=769658&tab=sun,6451484,경자 전성시대,경자 전성시대 (총 252화/미완결),총 252화/미완결,252.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=6451484,matched,ok,"경자 전성시대 (총 252화/미완결)
평점
9.7 | 김호드 김호드 | 2026.06.06. | 총252화/미완결 | 249화 무료
<연애의 정령> 김호드 작가 신작. 남들보다 강한 그녀, 육경자가 돌아왔다!!연인과 헤어지고 취업도 번번이 실패하며 힘든 하루를 보내던 경자는 더 쉴드라는 대기업으로부터 스카우트 제안을 받게 된다.학벌도 빽(?)도 없는 ..",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,6451484_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,300만,3000000.0,https://series.naver.com/comic/detail.series?productNo=6451484,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:48:47,2026-06-20 00:48:53,5.72,2026-06-20 00:48:53,2026-06-20,00:48:53,2026-06-20 01:04:53,976.36
sun,22,수희0(tngmlek0),생일기분,774831,https://comic.naver.com/webtoon/list?titleId=774831&tab=sun,6349214,수희0(tngmlek0),수희0(tngmlek0) (총 256화/미완결),총 256화/미완결,256.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=6349214,matched,ok,"수희0(tngmlek0) (총 256화/미완결)
평점
9.5 | 생일기분 생일기분 | 2026.06.06. | 총256화/미완결 | 252화 무료
가난한 집안, 어려운 형편에도 굴하지 않고 꿋꿋이 살아 가는 회사원 조수희.우연한 계기로 인터넷 방송을 시작하게 된다.처음엔 별 생각 없이 시작했던 인터넷 방송이,점차 수희의 삶의 균형을 무너뜨리게 되는데...",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,6349214_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,"1,231만",12310000.0,https://series.naver.com/comic/detail.series?productNo=6349214,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:48:54,2026-06-20 00:48:57,3.21,2026-06-20 00:48:57,2026-06-20,00:48:57,2026-06-20 01:04:53,976.36
sun,44,위닝샷!,강견,778578,https://comic.naver.com/webtoon/list?titleId=778578&tab=sun,6593832,위닝샷!,위닝샷! (총 182화/미완결),총 182화/미완결,182.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=6593832,matched,ok,"위닝샷! (총 182화/미완결)
평점
9.4 | 강견 시바견 | 2026.06.07. | 총182화/미완결 | 178화 무료
야구를 할 수 있는 조건이라면 팀의 패전조 역할도 마다하지 않는 투수 '안시윤'. 초라한 성적으로 중학교 선수 생활을 이어왔던 그는 상대팀의 포수 '백태오'와의 만남을 계기로 야구 인생이 송두리째 바뀌기 시작한다. 고교야..",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,6593832_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,830.7만,8307000.0,https://series.naver.com/comic/detail.series?productNo=6593832,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:48:58,2026-06-20 00:49:01,2.46,2026-06-20 00:49:01,2026-06-20,00:49:01,2026-06-20 01:04:53,976.36
sun,35,장풍전,신영우,789966,https://comic.naver.com/webtoon/list?titleId=789966&tab=sun,8174901,장풍전,장풍전 (총 229화/미완결),총 229화/미완결,229.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=8174901,matched,ok,"장풍전 (총 229화/미완결)
평점
9.6 | 신영우 신영우 | 2026.06.06. | 총229화/미완결 | 224화 무료
세상 모두가 내공을 가질 수 있는 시대.아직까진 고수라는 존재의 의미가 없지만,세상 한켠에선 옛 고서나 체계적인 연구로 인해 인간의 능력을 월등히뛰어넘는 고수들이 만들어지고 있다.세상에 공개된 내공수련법 이외에 ..",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,8174901_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,417.7만,4177000.0,https://series.naver.com/comic/detail.series?productNo=8174901,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:02,2026-06-20 00:49:05,2.8,2026-06-20 00:49:05,2026-06-20,00:49:05,2026-06-20 01:04:53,976.36
sun,69,마왕의 고백,탑승,793539,https://comic.naver.com/webtoon/list?titleId=793539&tab=sun,8367809,마왕의 고백,마왕의 고백 (총 146화/미완결),총 146화/미완결,146.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=8367809,matched,ok,"마왕의 고백 (총 146화/미완결)
평점
10.0 | 탑승 탑승 | 2026.05.09. | 총146화/미완결 | 전화 무료
천 년 전 마왕이 남긴 저주는 사람을 마술사로 만든다. 끝내 마수로 변하게 될 마술사의 운명을 바꾸기 위해 주인공 ""라피스""는 성기사를 키워내는 아레아 아카데미에 입학하게 되고, 점차 자신의 사명과 대륙에 전해지는 성자..",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,8367809_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,161.1만,1611000.0,https://series.naver.com/comic/detail.series?productNo=8367809,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:06,2026-06-20 00:49:09,2.28,2026-06-20 00:49:09,2026-06-20,00:49:09,2026-06-20 01:04:53,976.36
sun,33,아카데미에 위장취업당했다,타나,795529,https://comic.naver.com/webtoon/list?titleId=795529&tab=sun,8537797,아카데미에 위장취업당했다 [독점],아카데미에 위장취업당했다 [독점] (총 170화/미완결),총 170화/미완결,170.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=8537797,matched,ok,"아카데미에 위장취업당했다 [독점] (총 170화/미완결)
평점
9.9 | 타나, sayren WAG | 2026.05.02. | 총170화/미완결 | 전화 무료
정체를 숨기고 세계를 떠돌던 나는 열차 테러 사건에 휘말려본의 아니게 아카데미의 교사가 되었다.하지만, 위장당한 신분 또한 위장 신분이라는 걸 알고 위기에 봉착하게 되는데…이 아슬아슬한 외줄 타기의 끝은 어디일까.",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,8537797_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,709만,7090000.0,https://series.naver.com/comic/detail.series?productNo=8537797,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:10,2026-06-20 00:49:12,1.92,2026-06-20 00:49:12,2026-06-20,00:49:12,2026-06-20 01:04:53,976.36
sun,3,천화서고 대공자,128,805193,https://comic.naver.com/webtoon/list?titleId=805193&tab=sun,9293939,천화서고 대공자 [독점],천화서고 대공자 [독점] (총 182화/미완결),총 182화/미완결,182.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=9293939,matched,ok,"천화서고 대공자 [독점] (총 182화/미완결)
평점
9.9 | 128 MIDNIGHT STUDIO | 2026.05.30. | 총182화/미완결 | 177화 무료
넉넉한 풍채가 매력적인 무림맹주 후공은 어느 날 느닷없이 웬 비루먹을 청년의 몸에 들어오게 된다.청년의 이름은 범항.강호 3대 서고인 ‘천화서고’의 대공자이자답이 없는 자살희망자.후공은 환혼의 원인을 파악하기 위..",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,9293939_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,"1,449만",14490000.0,https://series.naver.com/comic/detail.series?productNo=9293939,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:14,2026-06-20 00:49:16,2.45,2026-06-20 00:49:16,2026-06-20,00:49:16,2026-06-20 01:04:53,976.36
sun,74,무진,사과,805691,https://comic.naver.com/webtoon/list?titleId=805691&tab=sun,9316040,무진,무진 (총 145화/미완결),총 145화/미완결,145.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=9316040,matched,ok,"무진 (총 145화/미완결)
평점
9.5 | 사과 브라보 장 | 2026.06.06. | 총145화/미완결 | 142화 무료
'친족 살인'이라는 죄목으로 아버지를 죽인 누명을 쓴 '이선호'하루하루 죽지 못해 살아가는 선호에게 다가온 의문의 노인노인은 선호에게 거절할 수 없는 제안을 하는데...",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,9316040_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,191.2만,1912000.0,https://series.naver.com/comic/detail.series?productNo=9316040,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:17,2026-06-20 00:49:20,2.41,2026-06-20 00:49:20,2026-06-20,00:49:20,2026-06-20 01:04:53,976.36
sun,90,신의 재래,홍무제,807206,https://comic.naver.com/webtoon/list?titleId=807206&tab=sun,9485493,신의 재래,신의 재래 (총 113화/미완결),총 113화/미완결,113.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=9485493,matched,ok,"신의 재래 (총 113화/미완결)
평점
9.7 | 홍무제 홍무제 | 2026.06.06. | 총113화/미완결 | 108화 무료
신들의 보물 여의주를 심장으로 살아가는 소년 현우주는호랑이에게 물려가 귀신과 싸우는 범의 학교에 입학한다.꿈꾸던 고교생활이 펼쳐지는 듯 했지만 기쁨도 잠시, 여의주를 노리는 적들이 시시각각 숨통을 조여오는데...",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,9485493_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,48.9만,489000.0,https://series.naver.com/comic/detail.series?productNo=9485493,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:21,2026-06-20 00:49:24,2.63,2026-06-20 00:49:24,2026-06-20,00:49:24,2026-06-20 01:04:53,976.36
thu,2,육아일기,자까,812354,https://comic.naver.com/webtoon/list?titleId=812354&tab=thu,9901643,육아일기,육아일기 (총 236화/미완결),총 236화/미완결,236.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=9901643,matched,ok,"육아일기 (총 236화/미완결)
평점
9.8 | 자까 자까 | 2026.06.06. | 총236화/미완결 | 231화 무료
이젠 갠플이 아니라 팀플이다! 조별 과제와 차원이 다른 인생을 건 팀플이 시작된다. 1인가구에서 2인가구로 성장한 자까 작가의 결혼 이야기.","thu,sun",2,"thu,sun",2,"wed,sat","thu,sun",True,sun,일,sat,sun,9901643_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,"2,045만",20450000.0,https://series.naver.com/comic/detail.series?productNo=9901643,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:25,2026-06-20 00:49:28,2.33,2026-06-20 00:49:28,2026-06-20,00:49:28,2026-06-20 01:04:53,976.36
sun,76,찐한 고백,JIP,812660,https://comic.naver.com/webtoon/list?titleId=812660&tab=sun,9922565,찐한 고백,찐한 고백 (총 88화/미완결),총 88화/미완결,88.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=9922565,matched,ok,"찐한 고백 (총 88화/미완결)
평점
10.0 | JIP,로즈빈 의령 | 2026.05.30. | 총88화/미완결 | 84화 무료
신입사원 시절 나를 공포에 떨게 했던 호랑이 사수가 돌아왔다. 하지만 쫄지 말자. 이젠 팀장 대 팀장이니까!근데… 호랑이는 어디로 가고 여우 한 마리가? 당신, 내가 알던 그 사람 맞아?!180도 바뀌어 돌아온 옛 사수 백선호. ..",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,9922565_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,185.8만,1858000.0,https://series.naver.com/comic/detail.series?productNo=9922565,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:29,2026-06-20 00:49:31,2.59,2026-06-20 00:49:31,2026-06-20,00:49:31,2026-06-20 01:04:53,976.36
sun,10,아카데미의 천재칼잡이,시치,813564,https://comic.naver.com/webtoon/list?titleId=813564&tab=sun,10002986,아카데미의 천재칼잡이,아카데미의 천재칼잡이 (총 139화/미완결),총 139화/미완결,139.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=10002986,matched,ok,"아카데미의 천재칼잡이 (총 139화/미완결)
평점
9.9 | 서관도 시치 | 2026.06.06. | 총139화/미완결 | 134화 무료
후회로 점철된 채 끝나버린 삶. 우연히 찾아온 두 번째 기회. 세상을 구하기 위한 로난의 모험이 시작된다.",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,10002986_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,985.2만,9852000.0,https://series.naver.com/comic/detail.series?productNo=10002986,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:33,2026-06-20 00:49:35,1.93,2026-06-20 00:49:35,2026-06-20,00:49:35,2026-06-20 01:04:53,976.36
sun,20,용사보다 너무 강해서 힘을 숨김,승한,814213,https://comic.naver.com/webtoon/list?titleId=814213&tab=sun,10074273,용사보다 너무 강해서 힘을 숨김,용사보다 너무 강해서 힘을 숨김 (총 125화/미완결),총 125화/미완결,125.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=10074273,matched,ok,"용사보다 너무 강해서 힘을 숨김 (총 125화/미완결)
평점
9.3 | 승한 예림 | 2026.06.06. | 총125화/미완결 | 120화 무료
어릴 적부터 만화 속에 나오는 주인공보다평소에는 가벼워 보이지만 사실 누구보다 강한 '힘을 숨긴 캐릭터'가 멋있었다그리고 찾아온 전생의 기회!""새로운 세상에서 무엇이 되고 싶나요?""""힘숨찐이 되고 싶어!""...내가 바란 힘..",sun,1,sun,1,sat,sun,True,sun,일,sat,sun,10074273_sun,pre_release,오늘 밤 10시 새 회차 공개 전 기준값 수집,632.3만,6323000.0,https://series.naver.com/comic/detail.series?productNo=10074273,20260620_004837,sat,토,2026-06-20 00:48:37,2026-06-20,00:48:37,2026-06-20 00:49:36,2026-06-20 00:49:38,2.12,2026-06-20 00:49:38,2026-06-20,00:49:38,2026-06-20 01:04:53,976.36
